nct,from_key,to_key,matched_name,action,rule,reason
NCT01993290,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT01997567,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT01999647,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02000973,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02006355,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02007850,K1:0494L275Q6,K1:7IO5LYA57N,ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02023684,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02033603,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02036242,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02037633,K1:0494L275Q6,K1:7IO5LYA57N,ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02056288,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02059070,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
