key,slug,printed_name,components,component_keys,shares_component_with
"COMBO:{K1:1ULL0QJ8UC,K1:9100L32L2N}",dapagliflozin-metformin,"Dapagliflozin, Metformin",Dapagliflozin + Metformin,K1:1ULL0QJ8UC;K1:9100L32L2N,"COMBO:{K1:1ULL0QJ8UC,K1:8I7IO46IVQ};COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N};COMBO:{K1:9100L32L2N,K1:HDC1R2M35U};COMBO:{K1:9100L32L2N,K1:JHC049LO86};COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}"
"COMBO:{K1:200168S0CL,K1:M494UE2YEP}",ambroxol-acefyllinate,AMBROXOL ACEFYLLINATE,Ambroxol + ACEFYLLINE,K1:200168S0CL;K1:M494UE2YEP,"COMBO:{K1:1RTM4PAL0V,K1:M494UE2YEP};COMBO:{K1:8GTS82S83M,K1:M494UE2YEP}"
"COMBO:{K1:25X51I8RD4,K1:PQ6CK8PD0R}",niacinamide-ascorbate,Niacinamide Ascorbate,Nicotinamide + Ascorbic acid,K1:25X51I8RD4;K1:PQ6CK8PD0R,"COMBO:{K1:7A314HQM0I,K1:PQ6CK8PD0R}"
"COMBO:{K1:2679MF687A,K1:TE7660XO1C}",chromium-dinicotinate-glycinate,Chromium Dinicotinate Glycinate,Nicotinic acid + Glycine,K1:2679MF687A;K1:TE7660XO1C,"COMBO:{K1:0HU2UI27HF,K1:TE7660XO1C};COMBO:{K1:0I55128JYK,K1:TE7660XO1C};COMBO:{K1:2679MF687A,K1:TN1B5910V2};COMBO:{K1:K848JZ4886,K1:TE7660XO1C}"
"COMBO:{K1:2679MF687A,K1:TN1B5910V2}",xanthinol-niacinate,XANTHINOL NIACINATE,Nicotinic acid + XANTHINOL,K1:2679MF687A;K1:TN1B5910V2,"COMBO:{K1:2679MF687A,K1:TE7660XO1C}"
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS}",abacavir-dolutegravir-lamivudine,"Abacavir, Dolutegravir, Lamivudine",Lamivudine + Dolutegravir + Abacavir,K1:2T8Q726O95;K1:DKO1W9H7M1;K1:WR2TIP26VS,"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1};COMBO:{K1:DKO1W9H7M1,K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}"
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1}",dolutegravir-and-lamivudine,Dolutegravir and Lamivudine,Lamivudine + Dolutegravir,K1:2T8Q726O95;K1:DKO1W9H7M1,"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS};COMBO:{K1:DKO1W9H7M1,K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}"
"COMBO:{K1:3QN8BYN5QF,K1:DIQ16UC154}",fingolimod-lauryl,FINGOLIMOD LAURYL SULFATE,Fingolimod + Lauryl Sulfate,K1:3QN8BYN5QF;K1:DIQ16UC154,"COMBO:{K1:DIQ16UC154,K1:F41401512X};COMBO:{K1:DIQ16UC154,K1:HB75CIT999};COMBO:{K1:DIQ16UC154,K1:X78UG0A0RN}"
"COMBO:{K1:3SCV180C9W,K1:418M5916WG}",chloral-betaine,CHLORAL BETAINE,Betaine + CHLORAL HYDRATE,K1:3SCV180C9W;K1:418M5916WG,"COMBO:{K1:418M5916WG,K1:T3CHA1B51H}"
"COMBO:{K1:3THM379K8A,K1:8ID597Z82X}",pyridoxal-alpha-ketoglutarate,Pyridoxal Alpha-Ketoglutarate,Pyridoxal + Alpha Ketoglutarate,K1:3THM379K8A;K1:8ID597Z82X,"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X};COMBO:{K1:4QD397987E,K1:8ID597Z82X};COMBO:{K1:8ID597Z82X,K1:E524N2IXA3};COMBO:{K1:8ID597Z82X,K1:KV2JZ1BI6Z};COMBO:{K1:8ID597Z82X,K1:MU72812GK0}"
"COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N}",linagliptin-and-metformin,Linagliptin and Metformin,Linagliptin + Metformin,K1:3X29ZEJ4R2;K1:9100L32L2N,"COMBO:{K1:1ULL0QJ8UC,K1:9100L32L2N};COMBO:{K1:9100L32L2N,K1:HDC1R2M35U};COMBO:{K1:9100L32L2N,K1:JHC049LO86};COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}"
"COMBO:{K1:418M5916WG,K1:T3CHA1B51H}",dichloralphenazone,DICHLORALPHENAZONE,CHLORAL HYDRATE + Phenazone,K1:418M5916WG;K1:T3CHA1B51H,"COMBO:{K1:3SCV180C9W,K1:418M5916WG}"
"COMBO:{K1:4G9EDB6V73,K1:C3ZUM5A33F}",amxt-1501-dicaprate,AMXT-1501 DICAPRATE,Capric Acid + AMXT-1501,K1:4G9EDB6V73;K1:C3ZUM5A33F,"COMBO:{K1:4G9EDB6V73,K1:R7EZ772VG2}"
"COMBO:{K1:4G9EDB6V73,K1:R7EZ772VG2}",enlicitide-decanoate,ENLICITIDE DECANOATE,Capric Acid + Enlicitide,K1:4G9EDB6V73;K1:R7EZ772VG2,"COMBO:{K1:4G9EDB6V73,K1:C3ZUM5A33F}"
"COMBO:{K1:4QD397987E,K1:8ID597Z82X}",histidine-alpha-ketoglutarate,Histidine Alpha-Ketoglutarate,Histidine + Alpha Ketoglutarate,K1:4QD397987E;K1:8ID597Z82X,"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X};COMBO:{K1:3THM379K8A,K1:8ID597Z82X};COMBO:{K1:8ID597Z82X,K1:E524N2IXA3};COMBO:{K1:8ID597Z82X,K1:KV2JZ1BI6Z};COMBO:{K1:8ID597Z82X,K1:MU72812GK0}"
"COMBO:{K1:4RII332O0R,K1:6HG8UB2MUY}",iodamide-meglumine,IODAMIDE MEGLUMINE,Iodamide + Meglumine,K1:4RII332O0R;K1:6HG8UB2MUY,"COMBO:{K1:16CHD79MIX,K1:6HG8UB2MUY};COMBO:{K1:5UVC90J1LK,K1:6HG8UB2MUY};COMBO:{K1:6315412YVF,K1:6HG8UB2MUY};COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC};COMBO:{K1:6HG8UB2MUY,K1:8FG9H9D31J};COMBO:{K1:6HG8UB2MUY,K1:CM1N99QR1M};COMBO:{K1:6HG8UB2MUY,K1:NS1Y283HW4};COMBO:{K1:6HG8UB2MUY,K1:QE1Q24M65Y};COMBO:{K1:6HG8UB2MUY,K1:S125DW66N8};COMBO:{K1:6HG8UB2MUY,K1:TKQ858A3VW};COMBO:{K1:6HG8UB2MUY,K1:X015V3LF01};COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}"
"COMBO:{K1:5UVC90J1LK,K1:6HG8UB2MUY}",diatrizoate-meglumine,DIATRIZOATE MEGLUMINE,Diatrizoic Acid + Meglumine,K1:5UVC90J1LK;K1:6HG8UB2MUY,"COMBO:{K1:16CHD79MIX,K1:6HG8UB2MUY};COMBO:{K1:4RII332O0R,K1:6HG8UB2MUY};COMBO:{K1:6315412YVF,K1:6HG8UB2MUY};COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC};COMBO:{K1:6HG8UB2MUY,K1:8FG9H9D31J};COMBO:{K1:6HG8UB2MUY,K1:CM1N99QR1M};COMBO:{K1:6HG8UB2MUY,K1:NS1Y283HW4};COMBO:{K1:6HG8UB2MUY,K1:QE1Q24M65Y};COMBO:{K1:6HG8UB2MUY,K1:S125DW66N8};COMBO:{K1:6HG8UB2MUY,K1:TKQ858A3VW};COMBO:{K1:6HG8UB2MUY,K1:X015V3LF01};COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}"
"COMBO:{K1:61H4T033E5,K1:MU72812GK0}",creatine-orotate,Creatine Orotate,Orotic acid + Creatine,K1:61H4T033E5;K1:MU72812GK0,"COMBO:{K1:8558G7RUTR,K1:MU72812GK0};COMBO:{K1:8ID597Z82X,K1:MU72812GK0}"
